"sync_date","HostID","cycle","wifiLogin","start_date","start_time","start_battery","stop_date","stop_time","stop_battery","start_stop_duration","battery_consumed"
"2020-12-30","MANISH IFE",1,"0","2020-12-29","23:46:57","61%","2020-12-30","00:10:24","60%",23,"1%"
"2020-12-30","MANISH IFE",2,"0","2020-12-30","00:10:25","60%","2020-12-30","00:24:47","59%",14,"1%"
"2020-12-30","MANISH IFE",3,"0","2020-12-30","00:24:48","59%","2020-12-30","00:36:32","59%",12,"0%"
"2020-12-30","MANISH IFE",4,,"2020-12-30","00:36:54","59%","2020-12-30","01:05:15","58%",28,"1%"
"2020-12-30","92",1,,"2020-12-25","23:39:31","91%","2020-12-26","09:12:11","65%",573,"26%"
"2020-12-30","92",2,"16","2020-12-26","09:13:01","65%","2020-12-26","11:57:49","54%",165,"11%"
"2020-12-30","92",3,,"2020-12-26","11:58:49","54%","2020-12-26","12:22:52","53%",24,"1%"
"2020-12-30","92",4,,"2020-12-26","12:59:41","52%","2020-12-26","13:33:25","50%",34,"2%"
"2020-12-30","92",5,,"2020-12-26","16:20:57","42%","2020-12-26","17:09:24","41%",48,"1%"
"2020-12-30","92",6,"0","2020-12-26","18:47:29","35%","2020-12-26","18:47:31","35%",0,"0%"
"2020-12-30","92",7,"21","2020-12-26","19:28:15","35%","2020-12-26","19:47:56","33%",20,"2%"
"2020-12-30","92",8,"26","2020-12-26","19:48:10","33%","2020-12-26","21:02:45","25%",75,"8%"
"2020-12-30","92",9,,"2020-12-26","21:04:45","24%","2020-12-27","00:53:33","22%",229,"2%"
"2020-12-30","92",10,"1","2020-12-27","00:54:16","22%","2020-12-27","00:54:48","22%",1,"0%"
"2020-12-30","92",11,,"2020-12-27","01:00:18","22%","2020-12-27","01:00:31","22%",0,"0%"
"2020-12-30","92",12,,"2020-12-27","07:39:14","100%","2020-12-27","08:01:16","97%",22,"3%"
"2020-12-30","92",13,"33","2020-12-27","10:18:28","93%","2020-12-27","11:18:43","88%",60,"5%"
"2020-12-30","92",14,"31","2020-12-28","05:36:00","100%","2020-12-28","09:04:19","87%",208,"13%"
"2020-12-30","92",15,"4","2020-12-28","09:04:39","87%","2020-12-28","09:07:25","87%",3,"0%"
"2020-12-30","92",16,,"2020-12-28","09:07:51","87%","2020-12-28","12:10:32","80%",183,"7%"
"2020-12-30","92",17,,"2020-12-28","15:36:56","67%","2020-12-29","04:57:07","100%",800,"-33%"
"2020-12-30","92",18,,"2020-12-29","07:55:38","100%","2020-12-29","09:55:25","97%",120,"3%"
"2020-12-30","92",19,,"2020-12-29","13:17:05","91%","2020-12-29","13:37:25","89%",20,"2%"
"2020-12-30","92",20,"1","2020-12-29","15:05:13","81%","2020-12-29","15:41:47","80%",37,"1%"
"2020-12-30","92",21,"24","2020-12-29","15:41:49","80%","2020-12-29","16:41:33","75%",60,"5%"
"2020-12-30","92",22,"0","2020-12-29","21:36:21","75%","2020-12-29","21:36:22","75%",0,"0%"
"2020-12-30","92",23,"26","2020-12-29","21:36:38","75%","2020-12-29","23:26:41","64%",110,"11%"
"2020-12-30","100",1,,"2020-12-29","08:10:45","100%","2020-12-29","20:05:23","73%",715,"27%"
"2020-12-30","100",2,,"2020-12-29","22:59:49","68%","2020-12-30","05:04:36","100%",365,"-32%"
"2021-01-03","100",1,"13","2020-12-30","06:23:56","100%","2020-12-30","07:31:28","98%",68,"2%"
"2021-01-03","100",2,,"2020-12-30","07:32:05","98%","2020-12-30","15:45:39","71%",494,"27%"
"2021-01-03","100",3,"24","2020-12-30","16:25:31","71%","2020-12-30","19:04:07","60%",159,"11%"
"2021-01-03","100",4,,"2020-12-30","19:04:19","60%","2020-12-30","19:15:14","58%",11,"2%"
"2021-01-03","100",5,"38","2020-12-30","19:15:31","58%","2020-12-30","20:10:53","51%",55,"7%"
"2021-01-03","100",6,,"2020-12-31","07:41:55","100%","2020-12-30","23:06:51","50%",515,"50%"
"2021-01-03","100",7,,"2020-12-31","07:46:50","99%","2020-12-31","10:20:47","90%",154,"9%"
"2021-01-03","100",8,"18","2020-12-31","11:16:57","90%","2020-12-31","12:30:50","85%",74,"5%"
"2021-01-03","100",9,,"2020-12-31","14:00:54","85%","2020-12-31","14:23:39","83%",23,"2%"
"2021-01-03","100",10,,"2020-12-31","16:49:23","81%","2021-01-01","09:48:46","50%",1019,"31%"
"2021-01-03","100",11,,"2021-01-01","17:17:00","38%","2021-01-02","05:44:24","100%",747,"-62%"
"2021-01-03","100",12,,"2021-01-02","09:32:35","97%","2021-01-02","11:28:57","92%",116,"5%"
"2021-01-03","100",13,,"2021-01-02","14:45:04","87%","2021-01-02","17:15:41","80%",151,"7%"
"2021-01-03","100",14,,"2021-01-02","19:51:09","75%","2021-01-03","08:30:55","100%",760,"-25%"
"2021-01-04","100",1,"25","2021-01-03","08:34:23","100%","2021-01-03","12:46:54","88%",253,"12%"
"2021-01-04","100",2,,"2021-01-03","12:47:15","88%","2021-01-03","16:10:46","79%",204,"9%"
"2021-01-04","100",3,,"2021-01-03","17:17:38","78%","2021-01-03","17:34:52","76%",17,"2%"
"2021-01-04","100",4,"20","2021-01-03","19:05:40","71%","2021-01-03","19:12:12","71%",7,"0%"
"2021-01-04","100",5,,"2021-01-03","19:12:22","71%","2021-01-03","20:51:23","66%",99,"5%"
"2021-01-04","100",6,,"2021-01-03","21:20:54","65%","2021-01-03","21:20:55","65%",0,"0%"
"2021-01-04","100",7,,"2021-01-03","21:34:22","64%","2021-01-04","09:53:13","84%",739,"-20%"
"2021-01-05","100",1,"5","2021-01-04","14:37:26","69%","2021-01-04","15:55:27","64%",78,"5%"
"2021-01-05","100",2,,"2021-01-04","16:47:30","64%","2021-01-04","19:51:36","56%",184,"8%"
"2021-01-05","100",3,"26","2021-01-04","22:19:35","47%","2021-01-04","23:18:18","42%",59,"5%"
"2021-01-05","100",4,"22","2021-01-04","23:18:33","42%","2021-01-05","00:07:53","38%",49,"4%"
"2021-01-05","94",1,,"2021-01-04","06:58:13","100%","2021-01-04","07:05:19","99%",7,"1%"
"2021-01-05","94",2,,"2021-01-04","09:35:53","92%","2021-01-04","10:20:30","88%",45,"4%"
"2021-01-05","94",3,"47","2021-01-04","10:21:45","88%","2021-01-04","12:53:24","78%",152,"10%"
"2021-01-05","94",4,"52","2021-01-04","12:53:34","78%","2021-01-04","14:02:18","72%",69,"6%"
"2021-01-05","94",5,,"2021-01-04","14:02:30","72%","2021-01-04","14:02:47","72%",0,"0%"
"2021-01-05","94",6,,"2021-01-04","14:05:34","71%","2021-01-04","19:20:12","50%",315,"21%"
"2021-01-05","57",1,"0","2021-01-04","13:57:14","98%","2021-01-04","14:21:20","97%",24,"1%"
"2021-01-05","57",2,,"2021-01-04","14:21:41","97%","2021-01-04","16:28:58","89%",127,"8%"
"2021-01-05","57",3,"27","2021-01-04","19:52:30","82%","2021-01-04","20:32:30","79%",40,"3%"
"2021-01-05","57",4,,"2021-01-04","20:32:42","79%","2021-01-04","22:04:38","74%",92,"5%"
"2021-01-05","57",5,"29","2021-01-04","22:19:35","73%","2021-01-04","23:35:52","67%",76,"6%"
"2021-01-05","47",1,"1","2021-01-04","05:53:16","100%","2021-01-04","05:54:31","99%",1,"1%"
"2021-01-05","47",2,"2","2021-01-04","05:54:43","99%","2021-01-04","05:56:49","99%",2,"0%"
"2021-01-05","47",3,"17","2021-01-04","05:56:50","99%","2021-01-04","09:07:54","91%",191,"8%"
"2021-01-05","47",4,"6","2021-01-04","09:08:05","91%","2021-01-04","09:43:01","89%",35,"2%"
"2021-01-05","47",5,"9","2021-01-04","09:43:47","89%","2021-01-04","12:20:54","81%",157,"8%"
"2021-01-05","47",6,"34","2021-01-04","13:18:24","81%","2021-01-04","16:32:02","69%",194,"12%"
"2021-01-05","47",7,"31","2021-01-04","16:32:04","69%","2021-01-04","17:43:17","64%",71,"5%"
"2021-01-05","47",8,,"2021-01-04","16:32:05","69%","2021-01-04","17:43:30","64%",71,"5%"
"2021-01-05","47",9,"35","2021-01-04","17:43:52","64%","2021-01-04","18:33:09","58%",49,"6%"
"2021-01-05","47",10,,"2021-01-04","18:33:24","58%","2021-01-04","20:48:44","55%",135,"3%"
"2021-01-05","47",11,"0","2021-01-04","23:22:03","45%","2021-01-04","23:36:22","45%",14,"0%"
"2021-01-05","47",12,"1","2021-01-04","23:36:24","45%","2021-01-05","00:04:05","45%",28,"0%"
"2021-01-05","47",13,,"2021-01-05","00:04:25","45%","2021-01-05","00:18:23","44%",14,"1%"
"2021-01-05","47",14,,"2021-01-05","00:34:08","44%","2021-01-05","00:47:56","44%",14,"0%"
"2021-01-05","47",15,,"2021-01-05","01:01:23","43%","2021-01-05","01:17:09","43%",16,"0%"
"2021-01-05","47",16,,"2021-01-05","01:59:31","41%","2021-01-05","02:13:29","41%",14,"0%"
"2021-01-05","47",17,,"2021-01-05","02:27:22","40%","2021-01-05","02:42:54","40%",16,"0%"
"2021-01-05","73",1,,"2021-01-03","05:53:31","100%","2021-01-03","15:00:10","73%",547,"27%"
"2021-01-05","73",2,"28","2021-01-03","17:31:20","65%","2021-01-03","18:35:27","59%",64,"6%"
"2021-01-05","73",3,"25","2021-01-03","20:45:21","59%","2021-01-03","22:38:50","51%",113,"8%"
"2021-01-05","73",4,,"2021-01-03","22:40:46","50%","2021-01-04","05:47:35","100%",427,"-50%"
"2021-01-05","73",5,,"2021-01-04","07:55:14","100%","2021-01-05","03:25:57","40%",1171,"60%"
"2021-01-05","93",1,"11","2021-01-04","07:26:28","76%","2021-01-04","09:26:35","68%",120,"8%"
"2021-01-05","93",2,,"2021-01-04","09:27:18","68%","2021-01-04","09:54:47","66%",27,"2%"
"2021-01-05","93",3,"25","2021-01-04","13:44:20","55%","2021-01-04","14:17:39","52%",33,"3%"
"2021-01-05","93",4,"2","2021-01-04","15:36:50","51%","2021-01-04","16:05:14","50%",28,"1%"
"2021-01-05","93",5,,"2021-01-04","20:32:44","49%","2021-01-05","01:18:01","51%",285,"-2%"
"2021-01-05","211",1,"2","2021-01-03","05:32:05","99%","2021-01-03","05:50:16","98%",18,"1%"
"2021-01-05","211",2,,"2021-01-03","05:50:37","98%","2021-01-03","06:08:02","98%",17,"0%"
"2021-01-05","211",3,,"2021-01-03","06:25:17","97%","2021-01-03","08:40:20","89%",135,"8%"
"2021-01-05","211",4,,"2021-01-03","08:54:31","88%","2021-01-03","09:09:11","88%",15,"0%"
"2021-01-05","211",5,"1","2021-01-03","09:45:48","87%","2021-01-03","09:45:38","87%",0,"0%"
"2021-01-05","211",6,,"2021-01-04","05:57:48","98%","2021-01-04","09:37:58","88%",220,"10%"
"2021-01-05","211",7,,"2021-01-04","11:50:03","82%","2021-01-04","15:31:29","73%",221,"9%"
"2021-01-05","211",8,,"2021-01-04","16:11:02","73%","2021-01-04","17:46:43","68%",96,"5%"
"2021-01-05","211",9,"8","2021-01-04","17:56:54","68%","2021-01-04","18:52:10","65%",55,"3%"
"2021-01-05","211",10,,"2021-01-04","18:52:11","65%","2021-01-04","21:16:45","53%",145,"12%"
"2021-01-05","211",11,,"2021-01-04","22:04:03","52%","2021-01-04","22:41:48","51%",38,"1%"
"2021-01-05","211",12,"20","2021-01-05","01:47:41","40%","2021-01-05","01:47:38","40%",0,"0%"
"2021-01-05","66",1,,"2021-01-02","08:26:03","100%","2021-01-02","17:37:07","80%",551,"20%"
"2021-01-05","66",2,"32","2021-01-02","19:35:59","73%","2021-01-02","21:08:55","68%",93,"5%"
"2021-01-05","66",3,,"2021-01-02","21:09:18","68%","2021-01-02","22:34:28","63%",85,"5%"
"2021-01-05","66",4,"51","2021-01-03","06:40:46","99%","2021-01-03","10:36:39","84%",236,"15%"
"2021-01-05","66",5,,"2021-01-03","10:36:54","84%","2021-01-03","13:47:48","72%",191,"12%"
"2021-01-05","66",6,,"2021-01-03","14:01:24","71%","2021-01-03","18:11:54","55%",250,"16%"
"2021-01-05","66",7,,"2021-01-03","21:21:31","46%","2021-01-03","22:20:58","41%",59,"5%"
"2021-01-05","66",8,,"2021-01-04","07:04:37","100%","2021-01-04","11:13:36","89%",249,"11%"
"2021-01-05","66",9,,"2021-01-04","14:03:07","82%","2021-01-04","15:34:16","74%",91,"8%"
"2021-01-05","66",10,,"2021-01-04","18:14:19","72%","2021-01-04","21:27:58","62%",194,"10%"
"2021-01-05","66",11,"21","2021-01-04","23:50:46","58%","2021-01-05","01:38:27","49%",108,"9%"
"2021-01-05","88",1,"26","2021-01-04","07:04:58","100%","2021-01-04","09:09:16","92%",124,"8%"
"2021-01-05","88",2,,"2021-01-04","10:23:30","91%","2021-01-04","11:13:50","91%",50,"0%"
"2021-01-05","88",3,,"2021-01-04","13:16:54","84%","2021-01-04","14:03:27","81%",47,"3%"
"2021-01-05","88",4,,"2021-01-04","18:14:07","73%","2021-01-04","21:36:02","62%",202,"11%"
"2021-01-05","88",5,,"2021-01-04","23:51:12","56%","2021-01-05","00:37:49","51%",47,"5%"
"2021-01-05","41",1,,"2021-01-04","07:39:42","100%","2021-01-04","15:25:51","85%",466,"15%"
"2021-01-05","41",2,,"2021-01-04","16:41:54","81%","2021-01-04","17:25:30","79%",44,"2%"
"2021-01-05","41",3,"9","2021-01-04","19:25:28","73%","2021-01-04","20:18:38","70%",53,"3%"
"2021-01-05","41",4,,"2021-01-04","20:18:58","70%","2021-01-04","22:16:24","63%",117,"7%"
"2021-01-05","41",5,,"2021-01-04","22:31:53","62%","2021-01-05","07:37:09","100%",545,"-38%"
"2021-01-05","178",1,,"2020-12-31","14:29:47","91%","2020-12-31","14:29:47","91%",0,"0%"
"2021-01-05","178",2,,"2021-01-05","10:07:09","89%","2021-01-05","10:07:09","89%",0,"0%"
"2021-01-05","178",3,"3","2021-01-05","10:11:49","88%","2021-01-05","10:10:28","88%",1,"0%"
"2021-01-05","178",4,,"2021-01-05","11:02:57","97%","2021-01-05","11:02:57","97%",0,"0%"
"2021-01-05","178",5,,"2021-01-05","11:05:31","96%","2021-01-05","11:05:31","96%",0,"0%"
"2021-01-05","178",6,"4","2021-01-05","11:06:55","96%","2021-01-05","11:09:31","96%",3,"0%"
"2021-01-05","178",7,,"2021-01-05","11:14:41","96%","2021-01-05","11:14:41","96%",0,"0%"
"2021-01-05","178",8,,"2021-01-05","11:16:14","96%","2021-01-05","11:16:14","96%",0,"0%"
"2021-01-05","178",9,,"2021-01-05","13:19:38","100%","2021-01-05","13:19:38","100%",0,"0%"
"2021-01-05","178",10,,"2021-01-05","13:20:30","100%","2021-01-05","13:20:31","100%",0,"0%"
"2021-01-05","205",1,"1","2021-01-01","07:33:13","96%","2021-01-01","07:35:25","96%",2,"0%"
"2021-01-05","205",2,"19","2021-01-01","07:36:02","96%","2021-01-01","10:40:39","87%",185,"9%"
"2021-01-05","205",3,,"2021-01-01","10:41:22","87%","2021-01-01","10:53:19","87%",12,"0%"
"2021-01-05","205",4,"32","2021-01-01","14:18:18","74%","2021-01-01","13:02:10","75%",76,"-1%"
"2021-01-05","205",5,"29","2021-01-01","17:24:00","60%","2021-01-01","19:41:38","49%",138,"11%"
"2021-01-05","205",6,"1","2021-01-02","22:46:10","100%","2021-01-02","22:48:03","100%",2,"0%"
"2021-01-05","205",7,"0","2021-01-03","07:41:59","99%","2021-01-03","07:42:04","99%",0,"0%"
"2021-01-05","205",8,"26","2021-01-03","07:42:25","99%","2021-01-03","10:50:34","88%",188,"11%"
"2021-01-05","205",9,"4","2021-01-03","10:50:35","88%","2021-01-03","10:57:11","88%",7,"0%"
"2021-01-05","205",10,"47","2021-01-03","10:57:29","88%","2021-01-03","14:46:10","74%",229,"14%"
"2021-01-05","205",11,,"2021-01-03","14:46:18","74%","2021-01-03","14:53:53","73%",8,"1%"
"2021-01-05","205",12,"5","2021-01-03","14:55:21","73%","2021-01-03","14:57:09","72%",2,"1%"
"2021-01-05","205",13,,"2021-01-03","17:41:52","70%","2021-01-03","21:35:33","58%",234,"12%"
"2021-01-05","205",14,,"2021-01-04","06:16:13","83%","2021-01-04","06:17:20","83%",1,"0%"
"2021-01-05","205",15,"27","2021-01-04","08:28:27","76%","2021-01-04","10:10:16","68%",102,"8%"
"2021-01-05","205",16,,"2021-01-04","11:17:43","68%","2021-01-04","13:06:44","67%",109,"1%"
"2021-01-05","205",17,"32","2021-01-04","13:19:15","66%","2021-01-04","15:10:55","56%",112,"10%"
"2021-01-05","205",18,"40","2021-01-04","15:11:11","56%","2021-01-04","17:06:56","47%",116,"9%"
"2021-01-05","205",19,,"2021-01-04","17:50:59","47%","2021-01-04","18:49:38","45%",59,"2%"
"2021-01-05","205",20,"23","2021-01-04","19:13:24","45%","2021-01-04","21:44:27","35%",151,"10%"